==> src/app/data_mixed_samples/codellama-7b_4500_complexity_stratified_maxlen2048/50x6/predictions/roc_curve.csv <==
fpr,tpr,threshold
0.3466666666666667,0.6933333333333334,-0.079
0.36,0.6933333333333334,-0.097
0.36,0.7066666666666667,-0.1138
0.37333333333333335,0.7066666666666667,-0.119
0.37333333333333335,0.72,-0.1535
0.38,0.72,-0.1619
0.38,0.7466666666666667,-0.1798
0.43333333333333335,0.7466666666666667,-0.2081
0.43333333333333335,0.76,-0.2478
0.4533333333333333,0.76,-0.2832
0.4533333333333333,0.7666666666666667,-0.2937
0.46,0.7666666666666667,-0.3031
0.46,0.7733333333333333,-0.3057
0.4666666666666667,0.7733333333333333,-0.3232
0.4666666666666667,0.8,-0.3557
0.5,0.8,-0.3863
0.5,0.8066666666666666,-0.4077
0.5066666666666667,0.8066666666666666,-0.4629
0.5066666666666667,0.82,-0.4931
0.52,0.82,-0.5448
0.52,0.8266666666666667,-0.5455
0.54,0.8266666666666667,-0.5689
0.54,0.84,-0.5734
0.5466666666666666,0.84,-0.6154
0.5466666666666666,0.8533333333333334,-0.6275
0.5533333333333333,0.8533333333333334,-0.6304
0.5533333333333333,0.86,-0.6366
0.5733333333333334,0.86,-0.6935
0.5733333333333334,0.8666666666666667,-0.6994
0.6,0.8666666666666667,-0.7745
0.6,0.88,-0.7761
0.6066666666666667,0.88,-0.7814
0.6066666666666667,0.8933333333333333,-0.8092
0.6333333333333333,0.8933333333333333,-0.8615
0.6333333333333333,0.9,-0.869
0.6666666666666666,0.9,-0.9236
0.6666666666666666,0.9133333333333333,-0.9375
0.6733333333333333,0.9133333333333333,-0.9524
0.6733333333333333,0.92,-0.9857
0.7066666666666667,0.92,-1.1067
0.7066666666666667,0.9333333333333333,-1.1148
0.7733333333333333,0.9333333333333333,-1.1737
0.7733333333333333,0.94,-1.2008
0.7866666666666666,0.94,-1.2594
0.7866666666666666,0.9466666666666667,-1.2793
0.8066666666666666,0.9466666666666667,-1.3234
0.8066666666666666,0.9533333333333334,-1.3525
0.82,0.9533333333333334,-1.3565
0.82,0.96,-1.3757
0.8666666666666667,0.96,-1.538
0.8666666666666667,0.9666666666666667,-1.5566
0.9,0.9666666666666667,-1.8068
0.9,0.9733333333333334,-1.8071
0.9066666666666666,0.9733333333333334,-1.8206
0.9066666666666666,0.98,-1.8306
0.9133333333333333,0.98,-1.8587
0.9133333333333333,0.9933333333333333,-1.9802
0.9533333333333334,0.9933333333333333,-2.2338
0.9533333333333334,1.0,-2.2438
1.0,1.0,-4.3841

==> src/app/data_mixed_samples/gpt-oss_4500_complexity_stratified_maxlen2048/50x6/predictions/roc_curve.csv <==
fpr,tpr,threshold
0.0,0.0,inf
0.0,0.006666666666666667,4.5584
0.0,0.18666666666666668,1.9061
0.006666666666666667,0.18666666666666668,1.9019
0.006666666666666667,0.28,1.5234
0.02,0.28,1.4858
0.02,0.2866666666666667,1.4802
0.02666666666666667,0.2866666666666667,1.4778
0.02666666666666667,0.3333333333333333,1.3712
0.03333333333333333,0.3333333333333333,1.3561
0.03333333333333333,0.3933333333333333,1.2714
0.04,0.3933333333333333,1.2663
0.04,0.4,1.2304
0.04666666666666667,0.4,1.2259
0.04666666666666667,0.43333333333333335,1.0406
0.05333333333333334,0.43333333333333335,1.0331
0.05333333333333334,0.4866666666666667,0.9373
0.06,0.4866666666666667,0.9328
0.06,0.49333333333333335,0.9126
0.06666666666666667,0.49333333333333335,0.8977
0.06666666666666667,0.5,0.8881
0.08,0.5,0.8679
0.08,0.5466666666666666,0.7577
0.08666666666666667,0.5466666666666666,0.757
0.08666666666666667,0.5533333333333333,0.7407
0.09333333333333334,0.5533333333333333,0.7368
0.09333333333333334,0.5666666666666667,0.7258
